Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement,Block 1,Block 2
2008-12-17,2008/583,Bernhard Piller,Grüne,Martin Mächler,EVP,Departement der Industriellen Betriebe (DIB),links,mitte
2019-04-17,2019/155,Florian Blättler,SP,Christian Monn,GLP,Hochbaudepartement (HBD),links,mitte
2015-11-18,2015/365,Pawel Silberring,SP,Christian Traber,CVP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2002-04-17,2002/127,Marcel Savarioud,SP,Gerold Lauber,CVP,Gesundheits- und Umweltdepartement (GUD),links,mitte
2018-10-03,2018/385,Eduard Guggenheim,AL,Sebastian Vogel,FDP,Tiefbau- und Entsorgungsdepartement (TED),links,rechts
2011-06-22,2011/219,Gian von Planta,GLP,Markus Knauss,Grüne,Polizeidepartement (PD),mitte,links
2005-04-20,2005/166,Heinz Bögle,SP,Rosemarie Berthoud,FDP,Sozialdepartement (SD),links,rechts
2007-12-19,2007/671,Marco V. Camin,FDP,Joe A. Manser,SP,,rechts,links
2008-12-17,2008/582,Ueli Nagel,Grüne,Claudia Rabelbauer,EVP,Schul- und Sportdepartement (SSD),links,mitte
2011-05-25,2011/185,Bernhard Piller,Grüne,Martin Luchsinger,GLP,Departement der Industriellen Betriebe (DIB),links,mitte
2016-01-20,2016/30,Elisabeth Schoch,FDP,Joe A. Manser,SP,Gesundheits- und Umweltdepartement (GUD),rechts,links
2005-05-25,2005/210,Joe A. Manser,SP,Peter Püntener,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2009-11-18,2009/544,Simon Kälin-Werth,Grüne,Christian Traber,CVP,Polizeidepartement (PD),links,mitte
2011-11-02,2011/408,Fiammetta Jahreiss-Montagnani,SP,Christian Traber,CVP,Finanzdepartement (FD),links,mitte
2014-06-18,2014/203,Pawel Silberring,SP,Heinz F. Steger,FDP,Polizeidepartement (PD),links,rechts
2004-04-07,2004/203,Franziska Graf,SP,Georg Schmid,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2006-05-03,2006/138,Marlène Butz,SP,Astrid Hirzel,CVP,Departement der Industriellen Betriebe (DIB),links,mitte
2006-01-25,2006/23,Michael Baumer,FDP,Balthasar Glättli,Grüne,Finanzdepartement (FD),rechts,links
2017-01-11,2017/5,Pascal Lamprecht,SP,Markus Baumann,GLP,Tiefbau- und Entsorgungsdepartement (TED),links,mitte
2013-08-28,2013/294,Simon Kälin-Werth,Grüne,Gerhard Bosshard,EVP,Hochbaudepartement (HBD),links,mitte
2008-12-17,2008/580,Peter Stähli-Barth,SP,Ernst Danner,EVP,Hochbaudepartement (HBD),links,mitte
2018-11-07,2018/423,Marco Denoth,SP,Albert Leiser,FDP,Hochbaudepartement (HBD),links,rechts
2013-01-16,2013/16,Peter Küng,SP,Michèle Halser-Furrer,EVP,Finanzdepartement (FD),links,mitte
