,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
1704,14.6.2000,2000/278,Peter Mächler,SVP,Raphaela-Franziska Ulcay-Hauser,SVP,Tiefbau- und Entsorgungsdepartement (TED)
1705,22.10.2008,2008/478,Claudia Simon,FDP,Albert Leiser,FDP,Hochbaudepartement (HBD)
1706,02.04.2014,2014/106,Christina Hug,Grüne,Jean-Daniel Strub,SP,
1707,09.07.2008,2008/336,Heinz F. Steger,FDP,Alexander Jäger,FDP,
1708,29.5.2002,2002/180,Luigi Leoni,SVP,Roger Bartholdi,SVP,Polizeidepartement (PD)
1709,24.5.2000,2000/250,Monika Spring-Gross,SP,Markus Zimmermann,SP,Polizeidepartement (PD)
1710,16.11.2005,2005/473,Susi Gut,PFZ,Markus Schwyn,PFZ,Gesundheits- und Umweltdepartement (GUD)
1711,21.11.2018,2018/450,Ezgi Akyol,AL,Nadia Huberson,SP,
1712,09.09.2015,2015/301,Marianne Aubert,SP,Simone Brander,SP,Polizeidepartement (PD)
1713,24.09.2008,2008/444,Ruth Ackermann,CVP,Jean-Claude Virchaux,CVP,Sozialdepartement (SD)
1714,13.11.2013,2013/393,Ruth Anhorn,SVP,Margrit Haller,SVP,
1715,09.06.2010,2010/250,Daniel Regli,SVP,Roland Scheck,SVP,Präsidialdepartement (PRD)
1716,24.8.2005,2005/315,Bruno Sidler,SVP,Theo Hauri,SVP,Schul- und Sportdepartement (SSD)
1717,30.08.2006,2006/349,Yvonne Müller,SP,Astrid Hirzel,CVP,Hochbaudepartement (HBD)
1718,26.1.2005,2005/29,Roger Liebi,SVP,Bruno Wohler,SVP,Hochbaudepartement (HBD)
1719,10.3.1999,1999/100,Romeo Steiner,CVP,Armin Schilter,SVP,Finanzdepartement (FD)
1720,28.11.2007,2007/628,Markus Knauss,Grüne,Daniel Leupi,Grüne,
1721,08.01.20,2013/218,Martin Bürlimann,SVP,Kurt Hüssy,SVP,
1722,16.9.1998,1998/307,Rolf Naef,SP,Marcel Savarioud,SP,Gesundheits- und Umweltdepartement (GUD)
1723,23.11.2016,2016/407,Elisabeth Schoch,FDP,Raphael Kobler,FDP,
1724,18.6.2008,2008/281,Susi Gut,PFZ,Markus Schwyn,PFZ,Schul- und Sportdepartement (SSD)
1725,21.11.2007,2007/614,Monika Erfigen,SVP,Hedy Schlatter,SVP,Präsidialdepartement (PRD)
1726,08.01.20,2007/172,Robert Schönbächler,CVP,Mario Mariani,CVP,
1727,16.03.2016,2016/82,Barbara Wiesmann,SP,Christine Seidler,SP,Stadtrat
1728,14.07.2010,2010/318,Roger Tognella,FDP,Hans Jörg Käppeli,SP,Tiefbau- und Entsorgungsdepartement (TED)
1729,19.11.2008,2008/524,Guido Bergmaier,SVP,Bruno Wohler,SVP,Hochbaudepartement (HBD)
1730,10.11.2010,2010/456,Guido Bergmaier,SVP,Jedidjah Bollag,SVP,Gesundheits- und Umweltdepartement (GUD)
1731,14.3.2001,2001/137,Niklaus Scherr,AL,Renate Schoch,AL,Präsidialdepartement (PRD)
1732,12.3.2001,2001/123,Bruno Sidler,SVP,Peter Mächler,SVP,Präsidialdepartement (PRD)
1733,4.6.2008,2008/256,Myriam Barzotto,SP,Jris Bischof,SP,
1734,29.6.2005,2005/261,Roger Liebi,SVP,Monika Erfigen,SVP,Finanzdepartement (FD)
1735,19.6.2002,2002/209,Ruth Anhorn,SVP,Rolf André Siegenthaler-Benz,SVP,Schul- und Sportdepartement (SSD)
1736,21.1.1998,1998/32,Markus Bischoff,AL,Ruth Zollinger,FraP,Polizeidepartement (PD)
1737,04.10.2017,2017/358,Matthias Probst,Grüne,Markus Kunz,Grüne,Departement der Industriellen Betriebe (DIB)
1738,23.1.2008,2008/55,Mauro Tuena,SVP,Roger Bartholdi,SVP,Sozialdepartement (SD)
1739,20.06.2007,2007/364,Christian Wenger,SD,Patrick Blöchlinger,SD,Finanzdepartement (FD)
1740,10.5.2006,2006/163,Peider Filli,Grüne,Alecs Recher,AL,Präsidialdepartement (PRD)
1741,26.06.2019,2019/290,Zilla Roose,SP,Nicole Giger,SP,Gemeinderat
1742,08.01.20,2002/547,Bernhard im Oberdorf,SVP,Bruno Garzotto,SVP,
1743,24.06.2009,2009/284,Andrew Katumba,SP,Marlène Butz,SP,Polizeidepartement (PD)
1744,6.6.2001,2001/309,Markus Schwyn,PFZ,Mauro Tuena,SVP,Polizeidepartement (PD)
1745,17.5.2006,2006/188,Richard Rabelbauer,EVP,Claudia Rabelbauer,EVP,Polizeidepartement (PD)
1746,27.11.2019,2019/509,Yasmine Bourgeois,FDP,Elisabeth Schoch,FDP,Präsidialdepartement (PRD)
1747,08.01.20,1997/221,Dominik Schaub,SP,Heinz Jacobi,SP,
1748,22.3.2006,2006/93,Beatrice Reimann,SP,Robert Schönbächler,CVP,Hochbaudepartement (HBD)
1749,17.03.2010,2010/132,Patrick Blöchlinger,SD,Ueli Brasser,SD,Finanzdepartement (FD)
1750,11.11.2009,2009/521,Mirella Wepf,SP,Claudia Nielsen,SP,Tiefbau- und Entsorgungsdepartement (TED)
1751,14.09.2011,2011/335,Joachim Hagger,FDP,Alexander Jäger,FDP,Geschäftsbericht Stadtrat
1752,30.1.2008,2008/82,Hans Nikles,SVP,Martin Bürlimann,SVP,
1753,04.12.2019,2019/535,David Garcia Nuñez,AL,Andreas Kirstein,AL,Gemeinderat
1754,22.9.2004,2004/516,Susi Gut,PFZ,Marina Garzotto,SVP,Präsidialdepartement (PRD)
1755,22.3.2000,2000/132,Markus Schwyn,PFZ,Mauro Tuena,SVP,Sozialdepartement (SD)
