,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
617,08.04.2015,2015/105,Petek Altinay,SP,Matthias Probst,Grüne,Polizeidepartement (PD)
618,4.6.2003,2003/183,Daniel Leupi,Grüne,Robert Schönbächler,CVP,Geschäftsbericht Stadtrat
619,9.5.2001,2001/253,Markus Schwyn,PFZ,Jürg Casparis,SVP,Finanzdepartement (FD)
620,30.09.2009,2009/447,Jean-Daniel Strub,SP,Balthasar Glättli,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
621,08.06.2016,2016/207,Marco Denoth,SP,Ann-Catherine Nabholz,GLP,
622,06.12.2018,2018/481,Mischa Schiwow,AL,Marianne Aubert,SP,Stadtrat
623,13.11.2013,2013/395,Roger Tognella,FDP,Dorothea Frei,SP,Sozialdepartement (SD)
624,1.11.2000,2000/524,Hans-Ulrich Meier,FDP,Werner Sieg,SP,Hochbaudepartement (HBD)
625,3.3.2004,2004/100,Susi Gut,PFZ,Roger Bartholdi,SVP,Polizeidepartement (PD)
626,24.8.2005,2005/313,Markus Schwyn,PFZ,Mauro Tuena,SVP,Tiefbau- und Entsorgungsdepartement (TED)
627,5.6.2002,2002/186,Christopher Vohdin,SVP,Markus Schwyn,PFZ,
628,9.11.2005,2005/449,Peter Püntener,GLP,Gerold Lauber,CVP,
629,29.08.2018,2018/318,Stefan Urech,SVP,Urs Helfenstein,SP,Stadtrat
630,4.10.2000,2000/487,Köbi Möri,Parteilos,Theo Hauri,SVP,Tiefbau- und Entsorgungsdepartement (TED)
631,21.3.2007,2007/148,Susi Gut,PFZ,Christian Traber,CVP,Schul- und Sportdepartement (SSD)
632,16.11.2016,2016/398,Katharina Prelicz-Huber,Grüne,Gabriela Rothenfluh,SP,
633,18.05.2016,2016/171,Markus Knauss,Grüne,Christian Traber,CVP,
634,14.12.2011,2011/496,Kathy Steiner,Grüne,Simone Brander,SP,
635,19.06.2019,2019/282,Olivia Romanelli,AL,Brigitte Fürer,Grüne,Gemeinderat
636,8.2.2006,2006/56,Pierino Cerliani,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
637,03.06.2009,2009/241,Mario Mariani,CVP,Hanspeter Kunz,EVP,Tiefbau- und Entsorgungsdepartement (TED)
638,6.2.2008,2008/90,Mischa Morgenbesser,FDP,Richard Rabelbauer,EVP,Sozialdepartement (SD)
639,26.5.2004,2004/262,Susi Gut,PFZ,Hansruedi Bär,SVP,Schul- und Sportdepartement (SSD)
640,07.12.2011,2011/469,Rebekka Wyler,SP,Walter Angst,AL,Finanzdepartement (FD)
641,17.06.2009,2009/269,Marcel Z'graggen,CVP,Peter Anderegg,EVP,Finanzdepartement (FD)
642,27.11.2019,2019/519,Nicole Giger,SP,Sven Sobernheim,GLP,Gemeinderat
643,22.9.2004,2004/512,Franziska Graf,SP,Thomas  Kappeler,CVP,
644,12.06.2019,2019/257,Sven Sobernheim,GLP,Res Marti,Grüne,Gemeinderat
645,03.09.2014,2014/274,Eduard Guggenheim,AL,Adrian Gautschi,GLP,Tiefbau- und Entsorgungsdepartement (TED)
646,30.1.2008,2008/79,Urs Rechsteiner,,Robert Schönbächler,CVP,Schul- und Sportdepartement (SSD)
647,13.6.2007,2007/348,Albert Leiser,FDP,Niklaus Scherr,AL,Tiefbau- und Entsorgungsdepartement (TED)
648,7.7.1999,1999/312,Balthasar Glättli,Grüne,Markus Bischoff,AL,
649,1.2.2006,2006/40,Salvatore Di Concilio,SP,Robert Schönbächler,CVP,Präsidialdepartement (PRD)
650,26.9.2001,2001/480,Karl Gafner,FDP,Andreas J. Schlegel,,
