,Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
391,10.5.2006,2006/168,Susi Gut,PFZ,Hedy Schlatter,SVP,Departement der Industriellen Betriebe (DIB)
392,11.7.2007,2007/409,Kyriakos Papageorgiou,SP,Alexander Jäger,FDP,Departement der Industriellen Betriebe (DIB)
394,20.9.2006,2006/395,Myrtha Meuli,SP,Josef Widler,CVP,Sozialdepartement (SD)
395,14.07.2010,2010/313,Andrew Katumba,SP,Gabriele Kisker,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
396,11.6.2003,2003/207,Heidi Bucher-Steinegger,Grüne,Walter Angst,AL,Schul- und Sportdepartement (SSD)
397,05.10.2016,2016/342,Marco Denoth,SP,Martin Luchsinger,GLP,Sicherheitsdepartement (SID)
399,6.7.2005,2005/281,Bernhard Piller,Grüne,Christine Stokar Gasser,SP,Tiefbau- und Entsorgungsdepartement (TED)
400,27.09.2006,2006/418,Matthias Probst,Grüne,Richard Rabelbauer,EVP,Präsidialdepartement (PRD)
401,08.01.20,2018/315,Isabel Garcia,GLP,Michael Schmid,FDP,Schul- und Sportdepartement (SSD)
402,06.01.2016,2016/9,Markus Baumann,GLP,Alan David Sangines,SP,Präsidialdepartement (PRD)
403,9.11.2005,2005/450,Susi Gut,PFZ,Roger Bartholdi,SVP,Gesundheits- und Umweltdepartement (GUD)
404,15.12.2006,2006/593,Daniela Schicker,AL,Peider Filli,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
405,25.6.2008,2008/301,Gabriele Kisker,Grüne,Monika Bloch Süss,CSP,Schul- und Sportdepartement (SSD)
406,1.11.2000,2000/529,Markus Schwyn,PFZ,Mauro Tuena,SVP,Finanzdepartement (FD)
407,10.3.2004,2004/119,Alexander Jäger,FDP,Willy Furter,EVP,Schul- und Sportdepartement (SSD)
408,15.12.2010,2010/529,Christina Hug,Grüne,Claudia Rabelbauer,EVP,Schul- und Sportdepartement (SSD)
409,18.04.2012,2012/174,Katrin Wüthrich,SP,Marcel Schönbächler,CVP,Hochbaudepartement (HBD)
410,7.6.2006,2006/222,Christine Seidler,SP,Mario Mariani,CVP,Tiefbau- und Entsorgungsdepartement (TED)
411,29.10.2003,2003/401,Mauro Tuena,SVP,Susi Gut,PFZ,Stadtschreiber/in (STS)
412,29.11.2006,2006/550,Markus Knauss,Grüne,Richard Rabelbauer,EVP,Gesundheits- und Umweltdepartement (GUD)
413,6.12.2006,2006/578,Marlène Butz,SP,Theresa G. Hensch-Stadelmann,FDP,Tiefbau- und Entsorgungsdepartement (TED)
414,12.03.2014,2014/73,Albert Leiser,FDP,Markus Hungerbühler,CVP,Finanzdepartement (FD)
415,03.07.2019,2019/310,Monika Bätschmann,Grüne,Christine Seidler,SP,Tiefbau- und Entsorgungsdepartement (TED)
416,31.10.2012,2012/389,Min Li Marti,SP,Isabel Garcia,GLP,Präsidialdepartement (PRD)
417,10.07.2019,2019/338,Balz Bürgisser,Grüne,Jean-Daniel Strub,SP,Schul- und Sportdepartement (SSD)
418,09.05.2007,2007/233,Ernst Danner,EVP,Jean-Claude Virchaux,CVP,Schul- und Sportdepartement (SSD)
419,2.10.2002,2002/404,Christoph Hug,Grüne,Gerold Lauber,CVP,Präsidialdepartement (PRD)
420,05.07.2017,2017/227,Heidi Egger,SP,Reto Rudolf,CVP,Sicherheitsdepartement (SID)
421,21.5.2003,2003/171,Georg Schmid,CVP,Ernst Danner,EVP,Polizeidepartement (PD)
422,08.01.20,2004/482,Roger Liebi,SVP,Markus Schwyn,PFZ,Polizeidepartement (PD)
423,13.11.2019,2019/489,Pascal Lamprecht,SP,Marcel Müller,FDP,Tiefbau- und Entsorgungsdepartement (TED)
424,24.10.2007,2007/569,Claudia Simon,FDP,Ruth Anhorn,SVP,Schul- und Sportdepartement (SSD)
425,08.01.20,2001/289,Christoph Hug,Grüne,Joe A. Manser,SP,Hochbaudepartement (HBD)
426,30.5.2001,2001/288,Markus Schwyn,PFZ,Christopher Vohdin,SVP,Präsidialdepartement (PRD)
427,09.05.2012,2007/232,Jean-Claude Virchaux,CVP,Ernst Danner,EVP,Schul- und Sportdepartement (SSD)
428,05.07.2017,2017/226,Christine Seidler,SP,Mario Mariani,CVP,Präsidialdepartement (PRD)
429,03.07.2019,2019/311,Zilla Roose,SP,Markus Merki,GLP,Schul- und Sportdepartement (SSD)
430,04.12.2013,2013/428,Samuel Dubno,GLP,Marc Bourgeois,FDP,Präsidialdepartement (PRD)
431,29.01.20,2003/366,Roger Bartholdi,SVP,Markus Schwyn,PFZ,Departement der Industriellen Betriebe (DIB)
432,18.04.2012,2012/175,Daniel Meier,CVP,Florian Utz,SP,Finanzdepartement (FD)
433,06.01.2016,2016/8,Markus Knauss,Grüne,Marco Denoth,SP,Finanzdepartement (FD)
434,10.3.2004,2004/124,Ernst Danner,EVP,Kurt Maeder,CVP,Finanzdepartement (FD)
435,10.3.1999,1999/93,Markus Bischoff,AL,Balthasar Glättli,Grüne,Polizeidepartement (PD)
436,21.10.2015,2015/337,Urs Helfenstein,SP,Markus Knauss,Grüne,Polizeidepartement (PD)
437,02.07.2008,2008/314,Min Li Marti,SP,Christina Hug,Grüne,Präsidialdepartement (PRD)
438,16.06.2010,2010/266,Florian Utz,SP,Guido Trevisan,GLP,Polizeidepartement (PD)
439,5.12.2007,2007/636,Walter Angst,AL,Jacqueline Badran,SP,Finanzdepartement (FD)
440,07.02.2018,2018/66,Marcel Tobler,SP,Isabel Garcia,GLP,Präsidialdepartement (PRD)
441,13.9.2000,2000/448,Markus Schwyn,PFZ,Theo Hauri,SVP,Hochbaudepartement (HBD)
442,02.11.2016,2016/380,Ezgi Akyol,AL,Linda Bär,SP,Sozialdepartement (SD)
443,14.07.2010,2010/312,Marianne Dubs Früh,SP,Thomas Wyss,Grüne,Departement der Industriellen Betriebe (DIB)
444,14.7.1999,1999/334,Markus Bischoff,AL,Reto Dettli,SP,Hochbaudepartement (HBD)
445,7.7.1999,1999/320,Kurt Tschopp,CVP,Rolf Kuhn,SP,Tiefbau- und Entsorgungsdepartement (TED)
