Datum,Geschäft,Einreichender 1,Partei 1,Einreichender 2,Partei 2,Departement
2017-03-29,2017/83,Stephan Iten,SVP,Christian Huser,FDP,Sozialdepartement (SD)
2011-06-15,2011/214,Isabel Garcia,GLP,Fiammetta Jahreiss-Montagnani,SP,Schul- und Sportdepartement (SSD)
2018-04-18,2018/161,Elena Marti,Grüne,Anjushka Früh,SP,Hochbaudepartement (HBD)
2015-12-02,2015/383,Markus Knauss,Grüne,Urs Helfenstein,SP,Tiefbau- und Entsorgungsdepartement (TED)
2003-08-20,2003/305,Markus Schwyn,PFZ,Martin Burger,SVP,Präsidialdepartement (PRD)
2003-12-10,2003/488,Oliver B. Meier,SVP,Gerold Lauber,CVP,Hochbaudepartement (HBD)
2018-09-19,2018/377,Luca Maggi,Grüne,Christina Schiller,AL,Sicherheitsdepartement (SID)
2018-09-19,2018/363,Luca Maggi,Grüne,Ezgi Akyol,AL,Sozialdepartement (SD)
2010-04-21,2010/205,Beat Bloch,CSP,Thomas Wyss,Grüne,Polizeidepartement (PD)
2005-10-26,2005/426,Ueli Nagel,Grüne,Monjek Rosenheim,FDP,Tiefbau- und Entsorgungsdepartement (TED)
2002-01-09,2002/7,Bruno Sidler,SVP,Markus Schwyn,PFZ,Präsidialdepartement (PRD)
1998-10-28,1998/352,Nicole Bisig,SP,Pierino Cerliani,Grüne,Hochbaudepartement (HBD)
2019-01-09,2019/4,Marcel Müller,FDP,Pascal Lamprecht,SP,Hochbaudepartement (HBD)
2016-01-20,2016/28,Hans Urs von Matt,SP,Christian Traber,CVP,Präsidialdepartement (PRD)
2018-06-06,2018/217,Guido Hüni,GLP,Andreas Kirstein,AL,Tiefbau- und Entsorgungsdepartement (TED)
2005-12-21,2005/552,Bernhard Piller,Grüne,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
1998-12-31,1998/150,Pierino Cerliani,Grüne,Silvia Biedermann,SP,Tiefbau- und Entsorgungsdepartement (TED)
2007-08-22,2007/457,Robert Schönbächler,CVP,Heinz Jacobi,SP,Departement der Industriellen Betriebe (DIB)
2016-04-20,2016/136,Jonas Steiner,SP,Shaibal Roy,GLP,Schul- und Sportdepartement (SSD)
2006-02-01,2006/39,Mario Mariani,CVP,Daniel Leupi,Grüne,Tiefbau- und Entsorgungsdepartement (TED)
2017-12-13,2017/457,Thomas Schwendener,SVP,Christoph Luchsinger,FDP,Hochbaudepartement (HBD)
1998-06-10,1998/187,Niklaus Scherr,AL,Robert Schönbächler,CVP,Tiefbau- und Entsorgungsdepartement (TED)
2000-12-20,2000/615,Markus Schwyn,PFZ,Christopher Vohdin,SVP,Polizeidepartement (PD)
2015-03-25,2015/92,Markus Hungerbühler,CVP,Urs Fehr,SVP,Polizeidepartement (PD)
2011-09-28,2011/360,Gian von Planta,GLP,Katrin Wüthrich,SP,Polizeidepartement (PD)
2009-12-02,2009/570,Jacqueline Badran,SP,Balthasar Glättli,Grüne,Präsidialdepartement (PRD)
2009-11-25,2009/564,Heinz F. Steger,FDP,Peter Anderegg,EVP,Polizeidepartement (PD)
2000-12-20,2000/611,Köbi Möri,Parteilos,Jürg Casparis,SVP,Polizeidepartement (PD)
2002-07-10,2002/258,Daniel Leupi,Grüne,Alexander Jäger,FDP,Tiefbau- und Entsorgungsdepartement (TED)
